Nouns,Exemptions
ABLUTION UNIT;TRANSFORMER|GRINDER|LOADER|CONTACTOR|SWITCHGEAR|TURBINE|PUMP|STUFFING BOX|CYLINDER|CONVEYOR|ENGINE|TRUCK|EXCAVATOR|GENERATOR|MACHINE|COMPRESSOR|BOILER|GAS|RADIATOR|GEARBOX|CRANE
ABRASIVE;TRANSFORMER|GRINDER|LOADER|CONTACTOR|SWITCHGEAR|TURBINE|PUMP|STUFFING BOX|CYLINDER|CONVEYOR|WEIGHT|ENGINE|TRUCK|EXCAVATOR|GENERATOR|MACHINE|COMPRESSOR|BOILER|GAS|RADIATOR|GEARBOX|CRANE
ABSORBENT;TRANSFORMER|GRINDER|LOADER|CONTACTOR|SWITCHGEAR|TURBINE|PUMP|STUFFING BOX|CYLINDER|CONVEYOR|ENGINE|TRUCK|EXCAVATOR|GENERATOR|MACHINE|COMPRESSOR|BOILER|GAS|RADIATOR|GEARBOX|CRANE
ABSORBER;TRANSFORMER|GRINDER|LOADER|CONTACTOR|SWITCHGEAR|TURBINE|PUMP|STUFFING BOX|CYLINDER|CONVEYOR|ENGINE|TRUCK|EXCAVATOR|GENERATOR|MACHINE|COMPRESSOR|BOILER|GAS|RADIATOR|GEARBOX|CRANE
ACCELERATOR;TRANSFORMER|GRINDER|LOADER|CONTACTOR|SWITCHGEAR|TURBINE|PUMP|STUFFING BOX|CYLINDER|CONVEYOR|ENGINE|TRUCK|EXCAVATOR|GENERATOR|MACHINE|COMPRESSOR|BOILER|GAS|RADIATOR|GEARBOX|CRANE
ACCELEROMETER;PUMP|ENGINE|GAS|COMPRESSOR
ACCESS POINT;TRANSFORMER|GRINDER|LOADER|CONTACTOR|SWITCHGEAR|TURBINE|PUMP|STUFFING BOX|CYLINDER|CONVEYOR|ENGINE|TRUCK|EXCAVATOR|GENERATOR|MACHINE|COMPRESSOR|BOILER|GAS|RADIATOR|GEARBOX|CRANE
ACCESSORY;PUMP|STATION|COMPRESSOR|ENGINE|GAS
ACCUMULATOR;CYLINDER|BAR|ENGINE|GAS
ACCURATOR;TRANSFORMER|GRINDER|LOADER|CONTACTOR|SWITCHGEAR|TURBINE|PUMP|STUFFING BOX|CYLINDER|CONVEYOR|ENGINE|TRUCK|EXCAVATOR|GENERATOR|MACHINE|COMPRESSOR|BOILER|GAS|RADIATOR|GEARBOX|CRANE
ACID;TRANSFORMER|GRINDER|LOADER|CONTACTOR|SWITCHGEAR|TURBINE|PUMP|STUFFING BOX|CYLINDER|CONVEYOR|ENGINE|TRUCK|EXCAVATOR|GENERATOR|MACHINE|COMPRESSOR|BOILER|GAS|RADIATOR|GEARBOX|CRANE
ACRYLONITRILE;TRANSFORMER|GRINDER|LOADER|CONTACTOR|SWITCHGEAR|TURBINE|PUMP|STUFFING BOX|CYLINDER|CONVEYOR|ENGINE|TRUCK|EXCAVATOR|GENERATOR|MACHINE|COMPRESSOR|BOILER|GAS|RADIATOR|GEARBOX|CRANE
ACTIVATOR;TRANSFORMER|GRINDER|LOADER|CONTACTOR|SWITCHGEAR|TURBINE|PUMP|STUFFING BOX|CYLINDER|CONVEYOR|ENGINE|TRUCK|EXCAVATOR|GENERATOR|MACHINE|COMPRESSOR|BOILER|GAS|RADIATOR|GEARBOX|CRANE
ACTUATOR;COUPLING|SHAFT|PACKING|GLAND|VALVE|LUBRICANT|TRANSFORMER|TUBE|FLANGE|TRANSMITTER|SCREW|KIT|ROD|BELT|SPRING|MOTOR|CYLINDER|ENGINE|BOLT|GEAR|GATE|BLOWER|BLOCK|ROTOR|GAS|SWITCH|ENCLOSURE|PISTON|BAR
